,,,,,,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,
COMMODITY CODE,DESCRIPTION,Inv Description,YARD,COMMENTS,MDC,SI,,FE,,CU,,MN,,MG,,CR,,NI,,ZN,,TI,,PB,,LI,,V,,ZR,,ALL OTHERS
SI31XXXXRL,SI3 ROLLING MILL SOW,SI3 ROLLING MILL SOW,"34, 54",REYNOLDS SPECS,SI31,2.5,5,0,0.6,0,0.25,0,0.08,0,0.1,0,0.14,0,0.05,0,0.08,0,0.1,0,0.01,0,0,0,0.025,0,0.01,
SI32XXXXRL,SI3 BILLET SOW,SI3 BILLET SOW,54,BONNELL SPECS,SI32,2.5,4,0,0.25,0,0.1,0,0.05,0,0.3,0,0.05,0,0.05,0,0.005,0,0.15,0,0.01,0,0.01,0,0.025,0,0.01,
SI33XXXXRL,SI3 SOW,SI3 SOW,54,OUT OF SPEC,SI33,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI71XXXXRL,SI7 AUTOMOTIVE SOW,SI7 AUTOMOTIVE SOW,54 (31),TOYOTA SPECS,SI71,6.5,7.5,0,0.2,0,0.009,0,0.01,0,0.3,0,0.02,0,0.002,0,0.03,0,0.15,0,0.001,0,0.001,0,0.001,0,0.001,0.15
SI72XXXXRL,SI7 EXTRUSION SOW,SI7 EXTRUSION SOW,"54, 34 (5%)",TOWER SPECS,SI72,6,8,0,0.25,0,0.1,0,0.05,0,0.3,0,0.05,0,0.05,0,0.05,0,0.15,0,0.01,0,0.01,0,0.025,0,0.01,0.15
SI73XXXXRL,SI7 SOW,SI7 SOW - OS,"54, 34 (5%)",OUT OF SPEC,SI73,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI74XXXXRL,SI7 (FE) SOW,SI7 (FE) SOW,54,PACE SPECS,SI74,3,10,0,1.5,0,0.5,0,0.25,0,0.5,0,0.25,0,0.25,0,0.25,0,0.15,0,0.1,0,0.05,0,0.05,0,0.05,0.15
DC3801XRL,DIE CAST SOW,DIE CAST SOW - PS,"50 (70), 52 (30)",PACE SPECS,DC3801,0,20,0,2,0,5,0,0.5,0,0.75,0,0.5,0,0.5,0,5.5,0,0.5,0,0.25,0,0.2,0,0.25,0,0.25,
DC3802XRL,DIE CAST SOW,DIE CAST SOW - GS,50,GENERAL SPECS,DC3802,4,17,0,1.2,1.5,4,0,0.25,0,0.2,0,0.2,0,0.2,0,4,0,0.25,0,0.1,0,0.1,0,0.1,0,0.1,
DC3803XRL,DIE CAST SOW,DIE CAST SOW - OS,"50, 52, 62",OUT OF SPEC,DC3803,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC12XXXRL,ADC12 SOW ,ADC12 SOW ,52,,DC12,10,20,0.6,1.6,1,2,0.15,0.6,0,0.2,0,0.75,0,0.08,0,0.9, 0, .1, 0, .04, 0, .002, 0,0.03,0,0.02,0.15
DC319XXRL,319 SOW,319 SOW,52,,DC319,5,8, 0,1,1,4,0,0.2,0, .005,0,0.1, 0,0.1,0,0.8,0,0.1,0,0.04,0,0.002,0,0.005,0,0.005,0.15
WA6001XRL,6063 SOW ,6063 SOW ,"33, 50, 52",6000 SERIES SOW,WA6001,0,0.6,0,0.3,0,0.06,0,0.06,0,0.5,0,0.02,0,0.05,0,0.02,0,0.02,0,0.005,0,0.0005,0,0.02,0,0.0005,0.15
WA6002XRL,6061 SOW,6061 SOW ,"33, 50, 52",6000 SERIES SOW,WA6002,0,0.7,0,0.35,0,0.15,0,0.12,0,0.5,0,0.04,0,0.05,0,0.05,0,0.4,0,0.005,0,0.0005,0,0.02,0,0.0005,0.15
WA7001XRL,7050 SOW,7050 SOW,"33, 50, 52",7000 SERIES SOW,WA7001,0,0.2,0,0.2,1,3,0,0.2,0.08,3,0,0.08,0,6,0,7,0,0.1,0,0.05,0,0.003,0,0.05,0.08,0.15,0.15
WA3001XRL,3105 SOW,3105 SOW,"33, 50, 52",3000 SERIES SOW,WA3001,0,0.9,0,1,0,0.5,0.1,1,0.1,1,0,0.3,0,0.05,0,0.7,0,0.15,0,0.05,0,0.003,0,0.05,0,0.05,0.15
WA5001XRL,5052 SOW,5052 SOW,"33, 50, 52, 62",5000 SERIES SOW,WA5001,0,0.4,0,0.5,0,0.2,0,0.2,1,3,0.05,0.45,0,0.05,0,0.2,0,0.05,0,0.05,0,0.003,0,0.05,0,0.05,0.15
WA5003XRL,5000 SOW OOS,5000 SOW OOS,,OUT OF SPEC,WA5003,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA2219XRL,2219 SOW,2219 SOW,"33, 50, 52",2000 SERIES SOW,WA2219,0,0.3,0,1.5,2,6.8,0.05,0.5,0,0.04,0,0.05,0,0.05,0,0.2,0.01,0.2,0,0.05,0,0.003,0,0.2,0.05,0.35,0.15
